timestamp,hostel_id,floor_no,wing,room_no,room_capacity,students_present,students_outside,students_on_leave,day_of_week,is_weekend,is_holiday,hour_of_day,room_status,temperature,expected_energy_kwh,actual_energy_kwh,energy_difference,anomaly
2026-07-31 17:00,D,2,A,207,4,3,1,0,Friday,0,0,17,Occupied,39.2,1.18,1.11,-0.07,0
2026-08-21 06:00,B,2,A,218,4,3,1,0,Friday,0,0,6,Occupied,30.3,1.04,1.04,0.0,0
2026-07-07 06:00,D,3,A,325,4,4,0,0,Tuesday,0,0,6,Occupied,38.8,1.47,1.5,0.03,0
2026-07-03 20:00,C,2,B,204,4,3,1,0,Friday,0,0,20,Occupied,36.6,1.14,1.12,-0.02,0
2026-07-24 22:00,C,2,A,206,4,2,1,1,Friday,0,0,22,Occupied,30.9,0.75,0.75,0.0,0
2026-08-26 07:00,D,2,B,219,4,3,1,0,Wednesday,0,0,7,Occupied,37.9,1.16,1.09,-0.07,0
2026-07-21 23:00,B,2,A,209,4,2,1,1,Tuesday,0,0,23,Occupied,38.9,0.87,0.8,-0.07,0
2026-07-18 07:00,D,3,A,310,4,3,1,0,Saturday,1,0,7,Occupied,40.0,1.19,1.19,0.0,0
2026-07-10 01:00,A,2,A,210,4,3,0,1,Friday,0,0,1,Occupied,28.6,1.02,0.99,-0.03,0
2026-08-04 23:00,C,4,B,424,4,2,1,1,Tuesday,0,0,23,Occupied,28.0,0.71,0.74,0.03,0
2026-07-11 11:00,A,4,B,408,4,2,2,0,Saturday,1,0,11,Occupied,31.4,0.76,0.76,0.0,0
2026-08-29 12:00,C,3,A,313,4,2,0,2,Saturday,1,1,12,Occupied,30.1,0.74,0.68,-0.06,0
2026-07-04 01:00,D,1,A,108,4,2,1,1,Saturday,1,0,1,Occupied,26.9,0.69,0.68,-0.01,0
2026-07-02 06:00,A,4,A,414,4,3,1,0,Thursday,0,0,6,Occupied,28.8,1.02,0.97,-0.05,0
2026-08-13 13:00,D,4,B,412,4,1,3,0,Thursday,0,0,13,Occupied,24.3,0.35,0.4,0.05,0
2026-07-12 12:00,D,1,B,114,4,3,1,0,Sunday,1,0,12,Occupied,34.7,1.11,1.17,0.06,0
2026-08-11 13:00,B,1,B,106,4,2,1,1,Tuesday,0,0,13,Occupied,38.8,0.87,0.84,-0.03,0
2026-08-10 09:00,A,2,B,220,4,0,4,0,Monday,0,0,9,Empty,31.1,0.16,0.17,0.01,0
2026-07-26 23:00,D,1,B,101,4,2,2,0,Sunday,1,0,23,Occupied,35.9,0.83,0.79,-0.04,0
2026-08-16 02:00,A,3,B,304,4,3,1,0,Sunday,1,0,2,Occupied,35.8,1.13,1.23,0.1,0
